,N,B,H,N_ESTIMATORS,MAX_DEPTH,MIN_SAMPLES_SPLIT,MIN_SAMPLES_LEAF,MAX_FEATURES,PCC,R2,MAE,Within_0.4,Within_1,Correct_Sign,Correct_Sign_Extreme
507,80,35,5.0,300,,2,1,log2,0.6893655110596065,0.4725151683055596,0.816440893332092,0.424379834622566,0.726860496132302,0.7441984529207789,0.8823529411764706
508,160,50,1.0,200,10,10,4,sqrt,0.6662035855790466,0.4351421242655641,0.852420776496026,0.3882445967316816,0.7221929362150764,0.7480231945176594,0.891456206340677
509,160,50,5.0,200,30,5,1,log2,0.682433221796004,0.4618109365046532,0.8272675631998256,0.4140748550342646,0.7258829731154455,0.7393252503953611,0.8753358409457281
510,0,65,0.1,100,,5,4,log2,0.6632497608316443,0.4340728368856108,0.8480680657257861,0.408960666840323,0.7207606147434228,0.7408179213336806,0.8771186440677966
511,140,65,10.0,300,30,2,10,log2,0.6393445149703422,0.4017658497458988,0.8732022097248003,0.3904662672570982,0.7202396457410785,0.7415993748371972,0.8755296610169492
512,80,35,10.0,200,30,10,1,sqrt,0.6722301728818705,0.44848022589511227,0.8324531855686966,0.41584422512670044,0.7191251000266737,0.7439317151240331,0.8796296296296297
513,0,65,0.1,100,,5,1,sqrt,0.6726036059439876,0.4508393964147628,0.839246826959265,0.4100026048450117,0.7171138317270123,0.7389945298254754,0.8723516949152542
514,140,50,10.0,300,30,2,1,log2,0.6736289686426198,0.452141898569661,0.8301891885568566,0.41591987348444914,0.7198207696362678,0.7435424354243543,0.8774852229983879
515,100,65,5.0,200,30,10,4,log2,0.6674368963062505,0.4389547052390409,0.8453273475002309,0.40270903881219067,0.7215420682469393,0.7423808283407137,0.8808262711864406
516,0,35,0.1,100,30,5,10,sqrt,0.6530516242344723,0.4183209067097917,0.858060265116173,0.39957321952520675,0.7103227527340624,0.7417978127500667,0.8812636165577342
517,100,65,5.0,100,10,5,2,log2,0.6562334545878501,0.42241673486277076,0.8655865215476626,0.38473560823131026,0.7171138317270123,0.7421203438395415,0.878707627118644
518,160,65,10.0,200,,2,10,sqrt,0.6370764305773673,0.3988223171322549,0.875734352682074,0.3865589997395155,0.71685334722584,0.7376921073196144,0.8707627118644068
519,100,65,1.0,200,10,10,2,sqrt,0.6582715463856343,0.4256038840718459,0.8646158928254909,0.3849960927324824,0.7173743162281844,0.741338890336025,0.8792372881355932
520,160,65,5.0,300,10,10,4,sqrt,0.6585887609111907,0.42501269376534034,0.8612700393860566,0.3889033602500651,0.7191977077363897,0.7429017973430581,0.8829449152542372
521,0,65,5.0,300,,5,2,log2,0.6716274343743571,0.44688445414014233,0.8388616247807469,0.41208648085438915,0.7241469132586611,0.7353477468090649,0.871292372881356
