,N,B,H,N_ESTIMATORS,MAX_DEPTH,MIN_SAMPLES_SPLIT,MIN_SAMPLES_LEAF,MAX_FEATURES,PCC,R2,MAE,Within_0.4,Within_1,Correct_Sign,Correct_Sign_Extreme
776,140,50,0.1,100,10,10,2,log2,0.6661139060429451,0.43567744769104944,0.8551727823321125,0.3863995782814971,0.7182393252503954,0.7490774907749077,0.8898441698011822
777,140,50,1.0,200,30,2,4,log2,0.6801154601481694,0.45681470618599707,0.8309087143394237,0.4085397996837111,0.7227200843437006,0.742751713231418,0.8817839871037076
778,140,35,0.1,100,10,2,1,sqrt,0.668357123589911,0.4431813728105717,0.8490183836945302,0.3782341957855428,0.7207255268071485,0.7495332088556949,0.8943355119825708
779,160,35,0.1,200,30,2,2,sqrt,0.6889083174506176,0.4719114551575133,0.8170741290708342,0.4174446519071752,0.7284609229127768,0.7460656174979995,0.8845315904139434
780,80,35,1.0,300,30,10,10,log2,0.6557695647002477,0.4208937702474608,0.8550971020099892,0.3969058415577487,0.722859429181115,0.7444651907175247,0.8856209150326797
781,80,65,0.1,200,30,5,4,sqrt,0.6732308814930799,0.4482369667276178,0.8380049836860831,0.4139098723625944,0.7207606147434228,0.7434227663454025,0.8824152542372882
782,80,50,5.0,100,,5,4,log2,0.6731221851842317,0.4468055051217473,0.8370142705187523,0.4127569847127043,0.7245651027938851,0.7445967316816026,0.8833960236432026
783,0,50,10.0,200,30,2,4,sqrt,0.659511182175851,0.4273830138599739,0.8500356059957963,0.39694254085397995,0.7200843437005798,0.7406431207169215,0.8774852229983879
784,160,65,0.1,200,,5,10,log2,0.6418934399455587,0.40308043251852943,0.872420475646914,0.3907267517582704,0.7191977077363897,0.7374316228184423,0.8765889830508474
785,160,65,5.0,300,10,10,2,sqrt,0.6604468030425932,0.4276266935757963,0.8627802968864715,0.38447512373013804,0.7189372232352175,0.7410784058348528,0.8792372881355932
786,80,65,5.0,300,10,10,1,sqrt,0.6578994663124653,0.42490226982489265,0.8664669283951213,0.38707996874185985,0.7171138317270123,0.7400364678301641,0.8765889830508474
787,140,35,0.1,200,30,2,2,log2,0.691245279720233,0.47487125455103285,0.813742573973352,0.41637770072019203,0.7300613496932515,0.7489997332622033,0.8888888888888888
788,100,50,1.0,100,,10,1,sqrt,0.6831516607921725,0.46355735788393215,0.8254999001213089,0.422772799156563,0.7216657880864523,0.7467053241960991,0.8828586781300376
789,160,35,5.0,300,10,5,2,sqrt,0.6741256868340487,0.4464973722963944,0.8453213298213438,0.38917044545212054,0.7233929047746066,0.7484662576687117,0.8899782135076253
790,80,50,1.0,300,10,2,1,log2,0.6657389444728485,0.4342401918322649,0.8569930845401433,0.3813916710595677,0.7187664733790196,0.7456510279388509,0.8866200967221923
791,80,50,10.0,200,30,5,4,log2,0.6677681590568809,0.43891567666160425,0.8420969418763445,0.411702688455456,0.7208750658935161,0.7451238798102267,0.8823213326168726
792,160,35,5.0,100,30,2,4,sqrt,0.680822591902831,0.4588000015387961,0.8244240273121739,0.41664443851693783,0.7252600693518272,0.7463323552947453,0.8927015250544662
793,120,50,10.0,100,10,5,4,log2,0.6470946655677854,0.4107876885058067,0.867724441649786,0.3903531892461782,0.7171850289931471,0.7435424354243543,0.8812466415905427
794,120,65,0.1,200,30,10,1,sqrt,0.675529146561485,0.4534805385143127,0.8383815593759933,0.4105235738473561,0.719718676738734,0.7410784058348528,0.8808262711864406
795,120,65,0.1,200,,10,4,sqrt,0.6700428098419312,0.44396276441596316,0.8400884136338947,0.4113050273508726,0.7189372232352175,0.7418598593383694,0.8792372881355932
796,0,35,0.1,300,,2,10,sqrt,0.6539851340252905,0.4192503828746439,0.8569080248947785,0.40010669511869834,0.7132568684982662,0.7431315017337957,0.8812636165577342
797,140,50,1.0,200,10,10,10,log2,0.646962640927919,0.4095377304839075,0.8701960501749852,0.3863995782814971,0.7185028993147075,0.7477596204533474,0.8882321332616873
798,0,50,1.0,300,30,5,2,sqrt,0.6827432084288153,0.4626692658967658,0.8250218984629806,0.4201370585134423,0.7232472324723247,0.742488139167106,0.8785599140247179
799,100,35,5.0,200,10,10,1,log2,0.6704489312775697,0.43965715178137976,0.8523973843056769,0.3825020005334756,0.7257935449453188,0.7463323552947453,0.8877995642701525
800,80,65,1.0,200,,2,10,sqrt,0.6471156385738842,0.411817046062231,0.8652058885641638,0.39515498827819745,0.7145089867152904,0.738473560823131,0.8734110169491526
801,120,35,5.0,200,30,5,10,sqrt,0.6572719828901393,0.42451506538110917,0.8520614054092811,0.40064017071218994,0.7191251000266737,0.7439317151240331,0.8839869281045751
802,160,35,0.1,300,10,5,4,sqrt,0.6727845610338881,0.4441827210615281,0.8440879246369719,0.38917044545212054,0.7225926913843692,0.7492664710589491,0.894880174291939
803,120,65,1.0,200,,5,4,log2,0.6718172405952526,0.44459441762779894,0.8415896360667361,0.40323000781453505,0.722584006251628,0.7408179213336806,0.8792372881355932
804,0,35,5.0,100,10,10,10,sqrt,0.6433284816128536,0.40509444956255936,0.8709558485541173,0.38730328087489996,0.710856228327554,0.7452654041077621,0.8785403050108932
805,0,50,10.0,300,10,10,2,log2,0.6440276353407475,0.40543937844595046,0.8766800363173537,0.3856088560885609,0.7137585661570901,0.7395888244596732,0.876410531972058
806,160,65,5.0,300,10,2,1,sqrt,0.6584682418840162,0.4265877157513335,0.8651341897712034,0.38369367022662154,0.7176348007293566,0.7405574368325085,0.8771186440677966
807,0,35,1.0,300,,5,10,log2,0.6470918610841583,0.40945893833607494,0.8640087235328807,0.3977060549479861,0.717524673246199,0.7420645505468125,0.8774509803921569
808,140,35,1.0,300,30,10,10,log2,0.6589939448188294,0.4261004227262041,0.8535127725429092,0.3910376100293412,0.7217924779941318,0.7465990930914911,0.8894335511982571
809,140,35,1.0,100,10,2,10,log2,0.6519941609386624,0.4167172519449843,0.8654082485294804,0.3854361162976794,0.7231261669778608,0.7473993064817285,0.8921568627450981
810,120,50,0.1,200,10,5,4,sqrt,0.6675430503105592,0.4370990613540384,0.8492489058798491,0.39219820769636266,0.7214022140221402,0.7474960463890353,0.8882321332616873
811,0,50,5.0,200,,10,10,log2,0.639053060460338,0.3992234876419095,0.8738974747422493,0.39826041117554034,0.7119135477069056,0.7406431207169215,0.8747984954325632
812,120,65,10.0,100,10,10,10,log2,0.6279569525630341,0.3855600727245566,0.8887116075966098,0.3834331857254493,0.7171138317270123,0.7392550143266475,0.8697033898305084
813,120,50,10.0,100,30,10,10,sqrt,0.6458563034706442,0.4094347117943571,0.867479096674215,0.3956246705324196,0.7153400105429626,0.7403795466526094,0.8731864588930682
814,100,65,1.0,300,,5,1,sqrt,0.6779730270685383,0.4576253998665122,0.8352358221751346,0.408960666840323,0.7207606147434228,0.7382130763219589,0.8765889830508474
815,120,50,0.1,200,30,2,10,sqrt,0.6544488292527574,0.4209122004810979,0.8570398529568422,0.39457037427517133,0.7190300474433315,0.7435424354243543,0.8817839871037076
816,80,50,0.1,100,30,10,10,log2,0.6494555635708128,0.4132940733351619,0.8635847900057632,0.39905113336847653,0.716657880864523,0.7443331576172905,0.8801719505642128
817,0,65,1.0,100,30,10,2,log2,0.6695554536591991,0.44340668926068516,0.840721357617082,0.4159937483719719,0.7158114092211514,0.7408179213336806,0.8739406779661016
818,80,35,1.0,300,10,2,4,log2,0.6701584022115903,0.4386232678661427,0.848908979029786,0.39157108562283277,0.7209922646038943,0.7476660442784743,0.8932461873638344
819,120,65,10.0,100,30,5,1,sqrt,0.6632695408376235,0.4381099010067041,0.8466275051768964,0.4128679343579057,0.7126855952070852,0.7366501693149258,0.8728813559322034
820,120,50,0.1,100,,2,2,sqrt,0.6832725382960794,0.4642806762319669,0.8245396699315983,0.42066420664206644,0.7221929362150764,0.7430152872957301,0.8780225685115529
821,140,50,5.0,300,10,5,2,log2,0.6683498647811423,0.4388349407123454,0.8499332906287481,0.3885081707959937,0.7203479177648919,0.7453874538745388,0.8876947877485223
822,100,65,1.0,100,,5,4,log2,0.6643576312839264,0.4359756499198717,0.8468704420831646,0.4079187288356343,0.7212815837457671,0.7389945298254754,0.8728813559322034
823,160,50,5.0,100,30,2,1,sqrt,0.6778041494362221,0.4581815857908669,0.831151725789724,0.41565629942013704,0.7227200843437006,0.7430152872957301,0.8850080601826975
824,140,35,10.0,100,10,2,1,log2,0.6570870593329361,0.4266870079809748,0.8591222795796792,0.3814350493464924,0.7209922646038943,0.7473993064817285,0.8883442265795207
825,100,65,5.0,300,30,2,1,sqrt,0.6787276328291177,0.45876911743378046,0.8331708732452852,0.4199010158895546,0.7202396457410785,0.7387340453243032,0.875
826,120,65,5.0,300,,2,2,sqrt,0.6766109402940385,0.45477922609202903,0.8326355297245195,0.4133889033602501,0.7238864287574889,0.7410784058348528,0.8734110169491526
827,160,65,0.1,300,10,10,4,sqrt,0.6584700543123906,0.4255730732387889,0.8619729245458297,0.382912216723105,0.7199791612399062,0.741338890336025,0.881885593220339
828,120,35,0.1,100,10,10,10,log2,0.646552709598782,0.40875493042935296,0.8684182495895995,0.38837023206188315,0.7167244598559616,0.7447319285142705,0.8850762527233116
829,120,65,0.1,200,,2,2,sqrt,0.6792864430328979,0.45874599169048214,0.8307980668393731,0.41755665537900494,0.7231049752539724,0.7387340453243032,0.8739406779661016
830,80,50,10.0,100,10,2,4,sqrt,0.6535530927543598,0.4199481781599077,0.8618887535043263,0.3882445967316816,0.7195571955719557,0.742751713231418,0.8801719505642128
831,120,50,10.0,200,10,10,10,sqrt,0.6408275003326633,0.40235181579659207,0.8734877843086595,0.3903531892461782,0.7171850289931471,0.7409066947812335,0.8785599140247179
832,80,35,5.0,200,30,5,1,log2,0.6855302985323144,0.46675772043401764,0.8214444726278191,0.41557748732995464,0.726860496132302,0.7463323552947453,0.8877995642701525
833,0,65,0.1,300,,5,4,log2,0.6662952005041862,0.43710653591720494,0.8443364314867148,0.41312841885907786,0.7205001302422506,0.7382130763219589,0.8744703389830508
834,140,50,0.1,300,10,10,1,sqrt,0.6663899272640005,0.43867776818168125,0.852465104646701,0.3790195044807591,0.7190300474433315,0.7482867685819715,0.8871574422353573
835,80,35,1.0,100,10,2,1,sqrt,0.6719411365041947,0.44458947839227236,0.8506328661333993,0.38730328087489996,0.7212590024006402,0.7441984529207789,0.8894335511982571
836,0,65,1.0,300,30,2,2,sqrt,0.6755137602285081,0.4533286608074393,0.8344202938978642,0.4170356863766606,0.7228444907528002,0.7353477468090649,0.8744703389830508
837,100,65,0.1,300,10,2,1,log2,0.6583971025921826,0.4247919890030588,0.865401033159343,0.3823912477207606,0.7176348007293566,0.7410784058348528,0.8776483050847458
838,160,50,0.1,300,30,10,2,sqrt,0.6812776660634792,0.45981537557340346,0.828077254816779,0.4175013178703216,0.7274644175013179,0.7443331576172905,0.8807092960773778
839,140,65,0.1,300,,10,4,log2,0.6702096696398498,0.4437741902098641,0.8413231331962726,0.4040114613180516,0.7236259442563168,0.7423808283407137,0.881885593220339
840,80,65,5.0,100,30,10,2,sqrt,0.6700663985318966,0.44527498452408054,0.8428513828686103,0.40765824433446207,0.7181557697317009,0.7387340453243032,0.8760593220338984
841,0,50,1.0,200,10,2,2,log2,0.6621818403203523,0.4284834968659653,0.85884608930255,0.3798102266736953,0.7171850289931471,0.750131787032156,0.8855454056958625
842,0,35,5.0,100,10,2,10,sqrt,0.6433284816128536,0.40509444956255936,0.8709558485541173,0.38730328087489996,0.710856228327554,0.7452654041077621,0.8785403050108932
843,0,65,5.0,100,10,5,10,sqrt,0.6313501433034233,0.3896305689999586,0.8858856393603509,0.38317270122427716,0.7092992966918469,0.7402969523313363,0.8739406779661016
844,120,65,10.0,100,10,10,4,log2,0.6433693501196125,0.40555469463883453,0.8746074278904855,0.38864287574889295,0.7176348007293566,0.7423808283407137,0.878177966101695
845,80,35,10.0,300,10,5,1,log2,0.6600086125977387,0.4271854794015223,0.8553360496720313,0.38890370765537474,0.7249933315550814,0.7420645505468125,0.8801742919389978
846,120,35,1.0,200,,10,1,sqrt,0.6880505215659416,0.4704193256111938,0.8201406342649623,0.42064550546812485,0.7236596425713524,0.7439317151240331,0.8856209150326797
847,100,35,5.0,200,10,10,1,sqrt,0.6717916904377,0.4429167501778639,0.8511566969132117,0.38917044545212054,0.7209922646038943,0.7468658308882369,0.8888888888888888
848,80,35,0.1,100,30,10,1,log2,0.6851495060816414,0.4651675510908896,0.8215008636074365,0.41931181648439586,0.7260602827420646,0.7471325686849827,0.8867102396514162
849,140,35,0.1,100,,10,1,log2,0.6821805575449191,0.4629292749995617,0.826521449932183,0.40730861563083487,0.7257935449453188,0.7463323552947453,0.8899782135076253
850,100,35,5.0,200,30,10,4,sqrt,0.6832199670299252,0.46078552467612743,0.8247284686197169,0.41424379834622566,0.7271272339290478,0.7455321419045079,0.8894335511982571
851,80,65,5.0,300,,2,10,sqrt,0.6486578450391058,0.41297476739044703,0.8655484375155129,0.3954154727793696,0.7158114092211514,0.7374316228184423,0.8723516949152542
852,120,35,1.0,100,30,10,4,sqrt,0.6801559440166527,0.4579453734267551,0.826169188191987,0.4094425180048013,0.7263270205388104,0.7455321419045079,0.8861655773420479
853,0,50,5.0,200,30,2,2,sqrt,0.6834353844979556,0.46326760072847106,0.8279915175749558,0.4201370585134423,0.7190300474433315,0.7445967316816026,0.8828586781300376
854,80,50,0.1,200,,5,10,log2,0.6506028936459544,0.41405330390865835,0.862470621797124,0.3964153927253558,0.7174486030574592,0.7435424354243543,0.8812466415905427
855,120,65,0.1,300,,2,2,sqrt,0.6797491776315672,0.4592682866746217,0.8307491236759486,0.4157332638707997,0.7246678822610054,0.7389945298254754,0.8744703389830508
856,140,35,5.0,200,,10,4,log2,0.6803465055092275,0.4575690529226819,0.8274957395504604,0.40704187783408907,0.7311283008802347,0.7476660442784743,0.8910675381263616
857,80,50,5.0,200,10,10,4,log2,0.6637305622858036,0.4294776571920592,0.8566985373428746,0.3874538745387454,0.7190300474433315,0.7459146020031628,0.8871574422353573
858,80,35,1.0,300,,10,4,sqrt,0.6828523223837761,0.4607369476722153,0.8239637010756945,0.41317684715924247,0.7260602827420646,0.7473993064817285,0.8888888888888888
859,80,35,0.1,300,30,2,4,sqrt,0.6860759085114143,0.4651923207459133,0.8213441740423095,0.41691117631368363,0.7265937583355562,0.7460656174979995,0.8894335511982571
860,140,35,0.1,300,30,2,4,log2,0.6833071607919502,0.4615056583830446,0.8232099022966174,0.4097092558015471,0.7265937583355562,0.7463323552947453,0.8872549019607843
861,0,50,10.0,200,10,5,2,log2,0.6502798841117899,0.41318310404979386,0.8693819647509572,0.38771744860305746,0.716921454928835,0.7411702688455456,0.8790972595378829
862,140,50,5.0,200,,10,10,log2,0.6529032696184702,0.41815784000575595,0.8605303974616196,0.39219820769636266,0.7214022140221402,0.7477596204533474,0.8844707146695325
863,0,35,0.1,300,10,5,10,log2,0.6410512291336314,0.4005159556340474,0.8760351154766871,0.3782341957855428,0.712189917311283,0.7447319285142705,0.8801742919389978
864,0,35,10.0,200,30,5,1,log2,0.6652078917717986,0.4399506969897419,0.8393096945172144,0.4171779141104294,0.7145905574819952,0.7425980261403041,0.8812636165577342
865,80,50,5.0,100,10,5,2,log2,0.6653713802275236,0.4333025018665885,0.8562963100109529,0.3908803373748023,0.7219293621507644,0.7459146020031628,0.8855454056958625
866,120,50,10.0,300,,2,4,sqrt,0.6653370586850784,0.43764332586032806,0.8415082140158341,0.4114391143911439,0.7235108065366368,0.7414338429098577,0.8780225685115529
867,120,65,10.0,100,30,5,4,sqrt,0.6556736078312121,0.42634240462160167,0.8541268394598485,0.4068767908309456,0.7176348007293566,0.7350872623078927,0.8702330508474576
868,140,50,10.0,300,10,10,2,sqrt,0.6576121445286229,0.42695687605082044,0.858223061393712,0.38508170795993674,0.7182393252503954,0.7419609910384818,0.8807092960773778
869,80,65,0.1,200,10,2,2,log2,0.6596533861820104,0.42648129874592855,0.8618911737089051,0.3834331857254493,0.7194581922375619,0.7418598593383694,0.878707627118644
870,140,35,5.0,100,30,5,1,log2,0.6844606946624219,0.4671486269177295,0.8183142716885604,0.4174446519071752,0.7289943985062683,0.7460656174979995,0.8883442265795207
871,100,35,10.0,300,10,2,1,log2,0.6597217908213028,0.42711879461264746,0.8559633444063784,0.39210456121632437,0.7217924779941318,0.7460656174979995,0.8861655773420479
872,120,35,0.1,200,10,5,1,sqrt,0.6706268673360064,0.44295172851516107,0.8485982544035673,0.38783675646839155,0.7231261669778608,0.7463323552947453,0.8877995642701525
873,120,65,1.0,300,10,10,2,log2,0.6578956563903634,0.4233268498128243,0.8652503953219984,0.3823912477207606,0.7207606147434228,0.741338890336025,0.878177966101695
874,120,50,5.0,200,10,5,2,sqrt,0.6663768848877211,0.43624202062834705,0.8530395193584063,0.38692672641012127,0.7192936215076436,0.7480231945176594,0.8893068242880172
875,100,65,1.0,100,,5,10,log2,0.6395427461497597,0.40120200362136305,0.8740140582226837,0.39020578275592605,0.7155509247199792,0.7392550143266475,0.871822033898305
876,160,35,5.0,300,10,5,1,sqrt,0.6721217040087346,0.4440530359714183,0.848672807907987,0.38863696985862894,0.721525740197386,0.7465990930914911,0.8861655773420479
877,0,50,10.0,200,10,5,10,sqrt,0.6252663974261357,0.38127894890216385,0.8889745442755617,0.3882445967316816,0.7116499736425935,0.7369530838165524,0.8688876947877485
878,140,65,5.0,100,10,10,10,sqrt,0.6476112295046325,0.4136344763663068,0.8714674627208178,0.38317270122427716,0.7178952852305288,0.7436832508465746,0.8802966101694916
879,100,65,10.0,100,30,5,10,log2,0.6351500016954096,0.39555473153299425,0.8796820391414629,0.3907267517582704,0.7139880177129461,0.7389945298254754,0.8723516949152542
880,120,50,1.0,100,10,10,4,log2,0.6599711221277301,0.425828935798251,0.8588471929135876,0.3874538745387454,0.7195571955719557,0.7459146020031628,0.8876947877485223
881,100,35,1.0,100,30,2,1,log2,0.6845509739214102,0.46698402705014286,0.8213515505161785,0.41504401173646305,0.7244598559615898,0.7449986663110163,0.8861655773420479
882,120,35,10.0,100,10,5,1,sqrt,0.6606387958109879,0.4298206879492288,0.8557093002030995,0.38890370765537474,0.717524673246199,0.7449986663110163,0.8839869281045751
883,0,50,1.0,300,30,10,10,log2,0.6411534269071356,0.4016443117023394,0.8709414330856059,0.3977332630469162,0.7129678439641539,0.7414338429098577,0.8737238044062332
884,80,50,10.0,200,10,5,10,log2,0.6371746937427522,0.3963170784131943,0.8786480846385814,0.3856088560885609,0.7185028993147075,0.7419609910384818,0.8785599140247179
885,140,65,5.0,300,30,5,2,log2,0.6765785669898419,0.4548740092183181,0.8344991967598737,0.40948163584266734,0.7238864287574889,0.7418598593383694,0.878177966101695
886,160,35,1.0,200,,5,4,sqrt,0.6799072716599499,0.45787079955071786,0.8251652617165489,0.4105094691917845,0.7273939717257936,0.7476660442784743,0.8894335511982571
887,160,50,0.1,200,30,2,2,sqrt,0.6844847249903321,0.46560802434381643,0.8226007562643289,0.4188191881918819,0.72772799156563,0.7403795466526094,0.876410531972058
888,160,65,1.0,300,30,10,4,log2,0.6667347123106934,0.4376793792592045,0.8441558638531896,0.4079187288356343,0.7238864287574889,0.741338890336025,0.878707627118644
889,120,50,1.0,100,30,10,10,sqrt,0.6521583276041277,0.41858413527022054,0.8582854963913915,0.40089615181866106,0.7195571955719557,0.7419609910384818,0.876410531972058
890,160,65,10.0,300,10,2,1,sqrt,0.6457081712935077,0.41061599193256415,0.8735068655039723,0.3855170617348268,0.7160718937223235,0.7392550143266475,0.875
891,100,65,0.1,300,10,5,4,sqrt,0.6596229304805827,0.42698028451746073,0.8612282984432726,0.38473560823131026,0.7205001302422506,0.7429017973430581,0.8840042372881356
892,120,35,5.0,300,30,10,10,log2,0.6542674330475517,0.4187178021690028,0.856391070592837,0.39503867698052814,0.7207255268071485,0.7428647639370499,0.8867102396514162
893,100,35,1.0,300,10,5,2,log2,0.6747440008758925,0.4454062314040472,0.8459087010461147,0.38650306748466257,0.7244598559615898,0.7484662576687117,0.8916122004357299
894,160,35,1.0,300,,10,2,sqrt,0.6865857993732343,0.46746195375736754,0.8212857940003409,0.4115764203787677,0.7289943985062683,0.7471325686849827,0.8888888888888888
895,100,65,5.0,200,10,2,1,log2,0.6606761901115248,0.42746968006998887,0.8628562207396102,0.380046887210211,0.7231049752539724,0.7402969523313363,0.8771186440677966
896,100,35,0.1,200,,5,2,log2,0.6867885606044974,0.4673084470054678,0.8177786616315207,0.4238463590290744,0.7276607095225394,0.7455321419045079,0.8850762527233116
897,160,50,1.0,300,30,5,4,sqrt,0.6817439451856324,0.45869841307294357,0.82756149820308,0.4172377438060095,0.7272008434370058,0.7445967316816026,0.8823213326168726
898,120,50,0.1,300,10,2,2,log2,0.6680585975168586,0.4369396096830447,0.8524015668755435,0.3900896151818661,0.7198207696362678,0.7467053241960991,0.8855454056958625
899,0,50,5.0,100,,10,2,log2,0.674108514126882,0.44864466807229886,0.8362349906395667,0.419082762256194,0.7185028993147075,0.7456510279388509,0.8844707146695325
900,100,35,1.0,100,30,2,1,log2,0.6845509739214102,0.46698402705014286,0.8213515505161785,0.41504401173646305,0.7244598559615898,0.7449986663110163,0.8861655773420479
901,160,50,0.1,200,30,5,4,sqrt,0.6825675580688865,0.45984507868671387,0.8275573706128856,0.4151291512915129,0.7258829731154455,0.7456510279388509,0.8833960236432026
902,80,65,5.0,300,,10,4,sqrt,0.6698489698529577,0.4430391620820465,0.8422914479252354,0.41260744985673353,0.7178952852305288,0.741338890336025,0.8776483050847458
903,140,35,10.0,300,10,10,10,sqrt,0.6541711667746151,0.421713337419378,0.8573170074864064,0.38917044545212054,0.7244598559615898,0.7479327820752201,0.8894335511982571
904,0,35,0.1,300,30,2,1,log2,0.685745055362993,0.46815888736909905,0.8195020517944257,0.42064550546812485,0.7225926913843692,0.7441984529207789,0.8861655773420479
905,0,65,0.1,300,10,5,10,log2,0.6278358453201032,0.384135172574695,0.8892366018480381,0.382912216723105,0.7100807501953634,0.7395154988278198,0.8707627118644068
906,140,35,5.0,200,30,10,4,sqrt,0.6841624644797785,0.46503560372449904,0.8232485260288949,0.41424379834622566,0.7279274473192852,0.7492664710589491,0.8927015250544662
907,0,50,1.0,100,,10,1,log2,0.6772703060929949,0.45440993887274705,0.8349039844080794,0.408012651555087,0.7235108065366368,0.7453874538745388,0.8850080601826975
908,160,65,0.1,300,10,5,2,log2,0.6589490139302425,0.42468506147310314,0.8628884694900031,0.38317270122427716,0.7218025527481114,0.7431622818442303,0.8813559322033898
909,120,65,10.0,300,10,10,2,log2,0.6443764556966727,0.40660070539664805,0.8748376955404588,0.38421463922896587,0.7202396457410785,0.738473560823131,0.8734110169491526
910,80,35,10.0,200,10,5,10,sqrt,0.6475850180387419,0.4109663562343133,0.8658041436212531,0.38783675646839155,0.71619098426247,0.7441984529207789,0.8790849673202614
911,160,35,1.0,200,30,2,2,sqrt,0.6889083174506176,0.4719114551575133,0.8170741290708342,0.4174446519071752,0.7284609229127768,0.7460656174979995,0.8845315904139434
912,160,50,5.0,200,,5,1,log2,0.6812424462228106,0.4603340231784099,0.8288014465537875,0.4143384290985767,0.7224565102793885,0.7387981022667369,0.8753358409457281
913,100,50,0.1,100,,10,1,log2,0.6790505839406571,0.456639500615598,0.8299125936738345,0.40906694781233527,0.7248286768581972,0.7416974169741697,0.8796346050510478
914,120,35,0.1,300,30,10,2,sqrt,0.6879545611943155,0.4693065565399366,0.8189631548814402,0.41957855428114166,0.7276607095225394,0.7471325686849827,0.8867102396514162
915,100,50,1.0,200,30,5,10,sqrt,0.6549841424130786,0.4216481051587998,0.8572349068110008,0.4003690036900369,0.7179757511860833,0.742751713231418,0.8812466415905427
916,80,50,10.0,200,,2,4,sqrt,0.6681259668214784,0.4411974197837545,0.8393200985499656,0.4140748550342646,0.7198207696362678,0.7414338429098577,0.8807092960773778
917,80,35,0.1,300,10,2,1,sqrt,0.6754746899209136,0.4486556505148974,0.8454421250527242,0.3910376100293412,0.7223259535876234,0.7457988797012537,0.8883442265795207
918,0,35,5.0,300,,2,4,sqrt,0.6797114108061018,0.4558234647626743,0.828088735614927,0.4123766337690051,0.7236596425713524,0.7452654041077621,0.8883442265795207
919,100,35,5.0,100,10,10,4,log2,0.665272917572953,0.43281365739057964,0.8545269795308026,0.38757001867164576,0.724193118164844,0.7463323552947453,0.8894335511982571
920,80,50,1.0,200,10,2,1,sqrt,0.6679527658247506,0.43844974320783625,0.8539730569170377,0.38692672641012127,0.7190300474433315,0.7438060094886663,0.8844707146695325
921,160,35,5.0,200,30,10,4,log2,0.6770584262524119,0.45122969496929066,0.8305664326221871,0.4121098959722593,0.725526807148573,0.7481995198719659,0.8872549019607843
922,100,35,5.0,200,,2,10,sqrt,0.6592463787880977,0.4270193679258929,0.8508511696067739,0.3982395305414777,0.721525740197386,0.7457988797012537,0.8856209150326797
923,80,50,1.0,200,30,5,1,sqrt,0.6864195451712845,0.46849737528767366,0.8236163961091514,0.41697416974169743,0.7219293621507644,0.7438060094886663,0.8785599140247179
924,140,50,10.0,300,,2,4,sqrt,0.6706767105012719,0.4465672969979049,0.8349168470072185,0.4127569847127043,0.7287822878228782,0.7414338429098577,0.8801719505642128
925,0,35,1.0,200,30,10,2,sqrt,0.6832021432201445,0.4623909884421973,0.824896253820346,0.4121098959722593,0.7249933315550814,0.7415310749533209,0.8828976034858388
926,120,65,1.0,100,,5,10,sqrt,0.6446238396516809,0.4093039754665925,0.868311563027391,0.39411305027350874,0.7147694712164626,0.7400364678301641,0.8755296610169492
927,160,35,10.0,100,30,5,4,sqrt,0.6650833225213274,0.43840077869617267,0.8366396081554323,0.41557748732995464,0.7231261669778608,0.7441984529207789,0.883442265795207
928,100,65,5.0,300,,10,10,sqrt,0.6462147110660321,0.41038315619591226,0.8676071633343518,0.3915082052617869,0.7165928627246679,0.7374316228184423,0.8734110169491526
929,140,50,10.0,200,,5,10,log2,0.6463991338918771,0.41016633357636045,0.8638005658594136,0.3964153927253558,0.7208750658935161,0.7435424354243543,0.8790972595378829
930,140,35,0.1,300,10,5,1,sqrt,0.6738723632015949,0.4494587586511689,0.8446976755698046,0.37983462256601763,0.7247265937583356,0.7471325686849827,0.8921568627450981
931,0,50,0.1,100,,5,2,sqrt,0.6803176349525869,0.4598513496614475,0.8267913174391719,0.415392725355825,0.7182393252503954,0.7456510279388509,0.8850080601826975
932,100,35,1.0,300,10,10,4,log2,0.6697518735790157,0.43782888223195326,0.8486189350890728,0.38783675646839155,0.7244598559615898,0.7476660442784743,0.8927015250544662
933,140,35,1.0,200,30,2,10,sqrt,0.6626555150454776,0.43394473520331,0.8473541179126961,0.39370498799679915,0.7236596425713524,0.7473993064817285,0.8883442265795207
934,0,65,5.0,100,10,2,4,sqrt,0.6531062044588634,0.4177636849819586,0.8688663853123593,0.3883823912477208,0.7137275332117738,0.7429017973430581,0.8755296610169492
935,0,35,0.1,300,30,5,2,sqrt,0.6887471352768468,0.4708734767816758,0.8151398268142633,0.41851160309415847,0.7273939717257936,0.7465990930914911,0.8883442265795207
936,140,35,5.0,200,10,5,4,sqrt,0.678636531586551,0.4542043543946098,0.8376057806606974,0.38783675646839155,0.7263270205388104,0.7484662576687117,0.8954248366013072
937,120,65,1.0,100,30,5,1,sqrt,0.6771237297938457,0.4569074239208537,0.8338973352396899,0.41521229486845534,0.7210210992445949,0.7387340453243032,0.875
938,100,50,10.0,300,30,2,1,sqrt,0.6725371460637929,0.4503173053483759,0.8334259838641784,0.4198734844491302,0.7190300474433315,0.7438060094886663,0.8780225685115529
939,100,35,0.1,300,10,2,10,sqrt,0.6559354086416745,0.4216492911552674,0.8585125621251649,0.38757001867164576,0.7193918378234195,0.7465990930914911,0.8894335511982571
